spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20000136	136	136 Austria	136 Austria	Austria	country in Central Europe	sovereign state		state		Austria	48,14							Austria	36.893	1877-01-17
								country												
						republic	form of state	regime												
							form of government													
						Rechtsstaat	legal doctrine	state												
						landlocked country		country												
								state												
						successor state		state												
								successor organization												
						country	territorial entity type	territory												
							administrative territorial entity type	political territorial entity												
							being													
20000137	137	137 Μελίβοια		Meliboea	list of Oceanids of Greek mythology	set of mythological Greek characters		Wikimedia set index article										Meliboea	128.678	1880-06-02
20000138	138	138 Τολόζα		Toulouse	French commune and city in Haute-Garonne, Occitania	commune of France	type of French administrative division	territorial collectivity of France		France	43.60444444444445,1.4433333333333334							Tolosa	52.905	1897-05-30
								LAU 2												
								municipality												
								fourth-level administrative division												
								fifth-level administrative division												
								commune												
								electoral unit												
						big city	classification of human settlements	city												
						college town		city												
								academic enclave												
20000139	139	139 Juewa	139 Juewa	China	cultural region, ancient civilization, and nation in East Asia, mostly refer to the People's Republic of China in political situation and rarely refer to the Republic of China	cultural region		region			35,105							Juewa	151.116	1881-03-28
						divided region		region												
						ancient civilization		civilization												
20000140	140	140 Siwa	140 Siwa	Živa	Slavic goddess	goddess	fictional religious occupation	deity									female	Siwa	109.79	1877-03-11
20000141	141	141 Lumen	141 Lumen	Lumen	philosophical novel by Camille Flammarion	literary work		written work										Lumen	117.916	1877-08-19
								creative work												
								type of work												
20000142	142	142 Polana	142 Polana	Pula	city and settlement in Istria County, Croatia	town in Croatia		administrative territorial entity of Croatia		Croatia	44.87027777777778,13.845555555555556							Polana	54.812	1880-08-10
								second-level administrative division												
								town												
								municipality of Croatia												
20000143	143	143 Adria	143 Adria	Adriatic Sea	body of water between the Italian Peninsula and the Balkan Peninsula	sea		water area		Italy	42.775833,15.426111							Adria	95.377	1880-04-13
								marine water body												
								saline water body												
						drainage basin	concept	region		Slovenia										
								basin		Croatia										
										Montenegro										
										Albania										
										Bosnia and Herzegovina										
20000144	144	144 Vibilia	144 Vibilia	Vibilia	roman goddess	Roman deity		deity									female	Vibilia	142.38	1875-06-04
								mythological Roman character												
20000145	145	145 Adeona	145 Adeona	Adeona	Roman god	Roman deity		deity									female	Adeona	127.783	1875-06-04
								mythological Roman character												
20000146	146	146 Λουκίνα		Lucina	Roman goddess of childbirth	Roman deity		deity									female	Lucina	160.310	1885-10-05
								mythological Roman character												
						goddess	fictional religious occupation	deity												
20000147	147	147 Πρωτογένεια		Protogeneia	mythical daughter of Deucalion	mythological Greek character		mythical character									female	Protogeneia	132.93	1875-09-25
20000148	148	148 Gallia	148 Gallia	Gaul	historical region of Western Europe inhabited by Celtic tribes	historical region		region		France	46.5,2.9							Gallia	97.75	1879-06-14
								former geographical object												
								historical geographic location												
								administrative territorial entity												
						ancient civilization		civilization		Germany										
						nation	construct	group of humans		Netherlands										
							political concept													
						former administrative territorial entity		former geographical object		Italy										
								administrative territorial entity		Switzerland										
								historical administrative division		Belgium										
								historical geographic location		Luxembourg										
				France	country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)	sovereign state		state		France	47,2									
								country												
						republic	form of state	regime												
							form of government													
						country	territorial entity type	territory												
							administrative territorial entity type	political territorial entity												
							being													
20000149	149	149 Medusa	149 Medusa	Medusa	in Greek mythology, one of the three Gorgons, described as a woman with snakes in place of hair, beheaded by Perseus	mythological Greek character		mythical character									female	Medusa	23.719	1891-09-28
20000150	150	150 Νούβα		Nüwa	Legendary figure of Chinese prehistory, the sister and wife of Fuxi and variously described as a divine mother goddess, half-snake demigod, empress and inventor	mother goddess		goddess								goddess	female	Nuwa	119.128	1880-09-14
20000151	151	151 Αφθονία		Abundantia	Roman personification of abundance	Roman deity		deity									female	Abundantia	39.037	1885-01-23
								mythological Roman character												
						personification	stylistic device	artistic theme												
								abstract being												
								figure of speech												
20000152	152	152 Atala	152 Atala	Atala	eponymous character of a novelle by French author François René de Chateaubriand	literary character	type of fictional character	character										Atala	58.964	1880-09-08
20000153	153	153 Hilda	153 Hilda	Hilda von Oppolzer		human	organisms known by a particular common name	mammal					1867-01-01T00:00:00Z	1877-01-01T00:00:00Z			female	Hilda	170.63	1880-05-15
								person												
								individual animal												
								omnivore												
								natural person												
20000154	154	154 Bertha	154 Bertha	Berthe Flammarion	French author	human	organisms known by a particular common name	mammal					1844-10-16T00:00:00Z	1936-01-01T00:00:00Z	France		female	Bertha	192.611	1880-09-12
								person												
								individual animal												
								omnivore												
								natural person												
20000155	155	155 Scylla	155 Scylla	Scylla	nymph transformed into a sea monster by Circe in Greek mythology	Greek water deities		water deity									female organism	Scylla	39.605	1875-11-09
								Greek deity												
						sea monster		monster												
20000156	156	156 Xanthippe	156 Xanthippe	Xanthippe	ancient Athenian, the wife of Socrates and mother of their three sons	human	organisms known by a particular common name	mammal					0500-01-01T00:00:00Z	0400-01-01T00:00:00Z		aristocrat	female	Xanthippe	143.346	1901-09-19
								person												
								individual animal												
								omnivore												
								natural person												
20000157	157	157 Dejanira	157 Dejanira	Deianira	daughter of Dexamenus in Greek mythology	mythological Greek character		mythical character									female	Dejanira	19.959	1904-11-13
20000158	158	158 Koronis	158 Koronis	Coronis	daughter of Phlegyas in Greek mythology	mythological Greek character		mythical character									female	Koronis	39.025	1893-08-12
20000159	159	159 Αιμιλία		Via Aemilia	ancient roman road	military road		road		Italy								Aemilia	125.236	1904-01-11
								military installation												
								architectural structure												
